ID      	faithfulness   	informativeness_step	informativeness_chain	repetition_step	discourse_representation	coherence_step_vs_step
0       	0.7806269609265857	0.8236270811822679	0.9352332204580307	0.003580749034881592	0.754188746213913	0.01142263412475586
1       	0.7887346808399472	0.8075316580278533	0.9056162983179092	0.04380607604980469	0.012294352054595947	0.11060446500778198
2       	0.7956015520862171	0.822266842105559	0.9191355854272842	0.007447987794876099	0.05189383029937744	0.002551555633544922
3       	0.8194419339299202	0.8479730981091658	0.9396597892045975	0.005474403500556946	0.0190579891204834	0.0032457709312438965
4       	0.7921187837015499	0.8382745662873441	0.9163835197687149	0.008122354745864868	0.0015461444854736328	0.00463026762008667
5       	0.7875867726711127	0.8012298257305073	0.9227796196937561	0.006659552454948425	0.009376585483551025	0.004367172718048096
6       	0.7824119143188	0.7993635106831789	0.9475231468677521	0.01252610981464386	0.2647298574447632	0.175137460231781
7       	0.7786806342857224	0.8031114964612893	0.9266857504844666	0.018415004014968872	0.016965627670288086	0.0023871660232543945
8       	0.7786656618118286	0.7935059865315754	0.938583105802536	0.008794888854026794	0.06437301635742188	0.0032193660736083984
9       	0.7876951777272754	0.8057756117648549	0.9404246211051941	0.015565097332000732	0.003891289234161377	0.0035790205001831055
10      	0.8008731454610825	0.8154466524720192	0.9406867623329163	0.025331780314445496	0.020774006843566895	0.086605966091156
11      	0.7541219294071198	0.8132925257086754	0.9602706432342529	0.005485996603965759	0.005381762981414795	0.023060500621795654
12      	0.7934013672850349	0.8115301054309715	0.9531580209732056	0.007611691951751709	0.02257061004638672	0.004830658435821533
13      	0.7767455982310432	0.7858818077615329	0.9387588202953339	0.020510852336883545	0.22989743947982788	0.014119148254394531
14      	0.7630683034658432	0.7934630885720253	0.9407493472099304	0.013351976871490479	0.0019416213035583496	0.0015547871589660645
15      	0.7873317537208399	0.8129332481573026	0.897722065448761	0.002568468451499939	0.0020241141319274902	0.001279294490814209
16      	0.8082878962159157	0.8199968822300434	0.9432875216007233	0.0154496431350708	0.44123077392578125	0.8669620603322983
17      	0.7788646817207336	0.797279953956604	0.9678613841533661	0.02308039367198944	0.0043814778327941895	0.0022168755531311035
18      	0.7768377903848886	0.8034179182723165	0.9315501004457474	0.015233352780342102	0.7224090695381165	0.31779706478118896
19      	0.8028150796890259	0.8373826928436756	0.934304878115654	0.001467689871788025	0.0034818649291992188	0.005486249923706055
20      	0.7836790184179941	0.817436729868253	0.9365766495466232	0.01719304919242859	0.17179888486862183	0.021023809909820557
21      	0.7800420245953968	0.816499107650348	0.9323491454124451	0.006760060787200928	0.11256873607635498	0.02228224277496338
22      	0.7779425105878285	0.793247369996139	0.9410692453384399	0.012266695499420166	0.273407518863678	0.002377331256866455
23      	0.765728364388148	0.7925791939099629	0.9615771919488907	0.0            	0.8942521065473557	0.023623943328857422
24      	0.7789795829190148	0.7980803391999669	0.9301798939704895	0.015125244855880737	0.27065855264663696	0.0031794309616088867
25      	0.7638307571411133	0.7805339947342873	0.9414477795362473	0.025050371885299683	0.09294706583023071	0.0028709769248962402
26      	0.7674101271799633	0.7840529669608389	0.9469545930624008	0.018275082111358643	0.9410113245248795	0.07488763332366943
27      	0.7631340312461058	0.790607235704859	0.948467493057251	0.01863008737564087	0.7378888130187988	0.008726656436920166
28      	0.8056785485574177	0.8283764521990504	0.9343405514955521	0.007115229964256287	0.009066104888916016	0.004756271839141846
29      	0.7755268613497416	0.804219514131546	0.947434812784195	0.0045364052057266235	0.0017035603523254395	0.011322200298309326
30      	0.7746655527088377	0.7918209127253957	0.9404651373624802	0.026807144284248352	0.705343097448349	0.03616267442703247
