sorted_index,compressed_ratio
32747,0.9622641509433962
31951,1.0
24817,1.2461538461538462
29509,1.5357142857142858
32911,1.5862068965517242
20657,1.0
34179,1.344
13890,2.3484848484848486
33327,1.1063829787234043
23184,2.333333333333333
17086,1.010989010989011
16872,1.236842105263158
3185,1.0
15761,0.7708333333333334
13959,1.1612903225806452
17070,1.1587301587301588
33632,0.6421052631578947
23901,0.6991150442477876
13672,0.6875
26055,0.8522727272727273
17158,1.0
26666,2.0
17049,1.2987012987012987
15432,0.6371681415929203
20330,0.7674418604651163
30665,0.8431372549019608
13402,1.0185185185185186
27907,0.9054054054054054
16079,1.648936170212766
16665,0.9176470588235294
24823,1.5164835164835164
32408,2.2291666666666665
42255,0.8829787234042553
19322,2.4473684210526314
29881,1.4788732394366195
15274,1.3116883116883118
16523,0.9801980198019802
14435,1.5918367346938775
14141,1.847457627118644
23103,0.6885245901639344
24855,0.7142857142857143
30580,0.8352941176470589
19091,0.9393939393939394
31550,1.9863013698630136
32829,1.1162790697674418
14927,1.75
32000,0.8888888888888888
23171,1.670731707317073
33538,1.5432098765432098
15347,1.5714285714285714
12626,0.609375
15860,2.4761904761904763
27196,0.8333333333333334
34396,1.0517241379310345
24769,1.1142857142857143
13533,2.235955056179775
15380,1.8032786885245904
23962,1.2432432432432432
17863,1.0666666666666669
29364,0.8181818181818182
30333,0.9701492537313432
44085,1.985074626865672
23418,1.4186046511627908
32665,1.2058823529411764
33586,0.573170731707317
15100,0.7946428571428571
32482,1.511111111111111
12741,0.875
15168,1.2428571428571429
33790,1.3448275862068966
30430,1.375
13092,1.0
24051,0.9404761904761904
19597,0.7974683544303798
13822,2.2363636363636363
14179,1.3793103448275863
29600,1.892307692307692
30003,1.2962962962962965
23652,1.0416666666666667
44782,0.5555555555555556
43615,1.2033898305084745
13820,0.2196969696969697
15938,0.8666666666666667
14949,1.930232558139535
31083,1.6
41412,1.65
32207,1.201834862385321
27436,0.8023255813953488
16438,1.0634920634920637
31662,0.7875
33666,1.5357142857142858
42273,1.393939393939394
14821,1.7346938775510203
13570,1.1830985915492958
19720,2.9393939393939394
15805,1.4935064935064934
23737,1.3888888888888888
10082,1.054054054054054
33042,0.9058823529411764
20566,1.0
13909,1.5609756097560976
32573,1.5272727272727271
12295,0.78
31302,1.617283950617284
22138,2.5970149253731343
12555,0.7407407407407407
26608,0.5813953488372093
23766,1.5263157894736843
45078,1.0
16446,1.2549019607843137
26790,1.325
33673,1.0263157894736843
15294,2.061224489795918
31566,1.238095238095238
15212,1.5405405405405406
14313,1.3768115942028984
41621,1.351351351351351
12898,0.8
14692,0.913978494623656
12612,1.5555555555555556
34020,0.6326530612244898
26256,1.3461538461538465
38937,1.5061728395061729
44543,1.0666666666666669
12056,0.6972477064220184
34343,1.2337662337662338
11459,1.339622641509434
15515,0.9629629629629628
15052,1.09375
14324,1.46875
32751,1.1587301587301588
13200,0.7777777777777778
30458,1.5833333333333333
24732,1.423728813559322
12121,1.7904761904761906
14269,0.7710843373493976
14461,0.8909090909090909
16582,1.1020408163265305
31719,1.0394736842105263
12862,0.9152542372881356
11991,0.918032786885246
14469,2.283582089552239
31583,0.5
12107,1.11340206185567
14331,1.1851851851851851
35394,1.4705882352941178
30050,2.375
12779,1.381443298969072
30726,1.1111111111111112
17630,1.9523809523809523
16425,1.4583333333333333
34520,0.7619047619047619
30483,0.9722222222222222
28285,1.0819672131147542
32999,0.8372093023255814
27250,1.0930232558139534
17876,1.7555555555555555
4191,1.5543478260869563
31932,1.0
29242,2.3823529411764706
12105,0.9130434782608696
33669,0.5274725274725275
16234,0.7674418604651163
30246,1.1320754716981132
45440,2.1724137931034484
25494,2.1923076923076925
31457,0.9489795918367347
24483,0.7012987012987013
20410,1.3148148148148149
12175,0.6515151515151515
14416,0.7916666666666666
30618,1.4655172413793105
32897,0.8860759493670886
22779,0.989247311827957
31411,0.6440677966101694
14319,0.971830985915493
31573,1.0963855421686748
32416,1.0253164556962024
28566,1.1363636363636365
29865,1.1764705882352942
26209,1.03125
1677,0.8191489361702128
7491,0.8983050847457628
17280,1.5694444444444444
23018,1.28125
14892,1.588235294117647
31790,1.173913043478261
32438,3.12280701754386
30282,1.0943396226415094
31621,1.5081967213114753
33833,1.5
31068,1.641025641025641
26440,0.7011494252873564
30258,1.5846153846153843
34198,0.6491228070175439
12073,1.621212121212121
34076,1.328125
34157,1.3636363636363635
32097,0.4459459459459459
31801,1.5
81,2.0545454545454547
30403,1.1547619047619049
40335,1.6415094339622642
33522,1.3043478260869563
25673,0.9523809523809524
14203,0.9571428571428572
31640,0.9375
29799,0.9
21222,1.0
32632,1.6923076923076923
25316,0.6493506493506493
28892,1.3943661971830985
42849,1.169811320754717
31024,2.018867924528302
28863,0.6627906976744186
32426,0.5254237288135594
31276,1.0606060606060606
34220,1.1320754716981132
